id,question,question_concept,choices,answerKey
075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ignore', 'enforce', 'authoritarian', 'yell at', 'avoid']}",A
61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,people,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['race track', 'populated areas', 'the desert', 'apartment', 'roadblock']}",B
4c1cb0e95b99f72d55c068ba0255c54d,To locate a choker not located in a jewelry box or boutique where would you go?,choker,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jewelry store', 'neck', 'jewlery box', 'jewelry box', 'boutique']}",A
02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,highway,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['united states', 'mexico', 'countryside', 'atlas', 'oceans']}",D
23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?",fox,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pretty flowers.', 'hen house', 'natural habitat', 'storybook', 'dense forest']}",C
e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,cable,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['radio shack', 'substation', 'cabinet', 'television', 'desk']}",D
09555c056f3cf0b7e0b84d8df4be1db7,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",drawstring bag,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['garbage can', 'military', 'jewelry store', 'safe', 'airport']}",E
3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",mold,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['carpet', 'refrigerator', 'breadbox', 'fridge', 'coach']}",B
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,fountain pen,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['shirt pocket', ""calligrapher's hand"", 'inkwell', 'desk drawer', 'blotter']}",E
cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,restaurant,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['town', 'at hotel', 'mall', 'business sector', 'yellow pages']}",D
1a7f5b3c65364d9be002576660c914fe,Where do you put your grapes just before checking out?,grape,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mouth', 'grocery cart', 'super market', 'fruit basket', 'fruit market']}",B
dac769116ed064bc70936c15eb822c3e,"Before getting a divorce, what did the wife feel who was doing all the work?",getting divorce,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['harder', 'anguish', 'bitterness', 'tears', 'sadness']}",C
f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['state park', 'bus depot', 'garden', 'gym', 'rest area']}",C
b63b9809c203321d6659ddf8551894bf,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['loss of heat', 'revenge', 'expansion', 'relaxation', 'calm down']}",A
527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",house,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['yard', 'basement', 'kitchen', 'living room', 'garden']}",C
e6766a66f8d326bf00fbf628a0e4ef24,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",marsh,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['low lands', 'new york', 'forest', 'louisiana', 'everglades']}",D
a76403b4921a9281b6ee2a7241a5ec9f,What is it called when you slowly cook using a grill?,grill,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['backyard', 'restaurant', 'crockpot', ""neighbor's house"", 'barbeque']}",E
ad96098698b8378b2e79c6424920ffbd,What type of person typically contracts illness?,illness,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['hospital', 'head', 'sick person', 'elderly person', ""doctor's office""]}",D
